word	segmented_word	num_segments
40-vuotiaiden	40-vuotia-i-den	4
äänestäessään	äänestä-e-ssä-än	4
äänestettäessä	äänestet-tä-e-ssä	4
arkaluonteisia	arka-luonteis-i-a	4
asuntokunnista	asunto-kunn-i-sta	4
eduskuntaryhmän	edus-kunta-ryhmä-n	4
eduskuntaryhmänsä	edus-kunta-ryhmä-nsä	4
eduskuntatyön	edus-kunta-työ-n	4
eduskuntatyöstä	edus-kunta-työ-stä	4
eduskuntavaaleissa	edus-kuntavaale-i-ssa	4
elintarvikkeiden	elin-tarvikke-i-den	4
ennallistamissääntelylle	ennallista-mis-sääntely-lle	4
esitutkintapöytäkirjat	esi-tutkinta-pöytä-kirja-t	5
EU-asioista	EU-asio-i-sta	4
EU-asioita	EU-asio-i-ta	4
europarlamenttiuraansa	euro-parlamenttiura-a-nsa	4
europarlamenttivaaleissa	euro-parlamenttivaale-i-ssa	4
EU-vaaleissa	EU-vaale-i-ssa	4
EU-vaalien	EU-vaal-i-en	4
haikailevia	haikaile-v-i-a	4
havaittavissa	havait-tav-i-ssa	4
jäädäkseen	jääd-ä-kse-en	4
jääneissä	jää-ne-i-ssä	4
kansanedustajuuttaan	kansa-nedustajuut-ta-an	4
keräämällään	kerää-mä-llä-än	4
lakivaliokunnan	laki-valio-kunna-n	4
liikepankkien	liike-pankk-i-en	4
liittyviä	liitty-v-i-ä	4
liittyvissä	liitty-v-i-ssä	4
lisätutkintapöytäkirjasta	lisätutkinta-pöytä-kirja-sta	4
näkyvimpiin	näkyv-imp-i-in	4
presidentinvaaleissa	presidentin-vaale-i-ssa	4
punavihreistä	puna-vihre-i-stä	4
raha-asioiden	raha-asio-i-den	4
reilummin	reilu-mm-i-n	4
rohkeammin	rohkea-mm-i-n	4
saavutettavissa	saavutet-tav-i-ssa	4
salattaviksi	salat-tav-i-ksi	4
silmiään	silm-i-ä-än	4
suomalaisäänestäjistä	suomalai-säänestäj-i-stä	4
suunnitelmiaan	suunnitelm-i-a-an	4
tekoälysiruilla	teko-älysiru-i-lla	4
tilintarkastustuomioistuimeen	tilin-tarkastustuomio-istuime-en	4
toisilleen	tois-i-lle-en	4
toisistaan	tois-i-sta-an	4
tuettuja	tuet-tu-j-a	4
tulevaisuudennäkymistä	tulevaisuuden-näkym-i-stä	4
uhkakuvia	uhka-kuv-i-a	4
useammin	usea-mm-i-n	4
vaalitenteissä	vaali-tente-i-ssä	4
vaaliuurnilta	vaali-uurn-i-lta	4
vaikutusvaltaisimmaksi	vaikutus-valtais-imma-ksi	4
vaikutusvaltaisimman	vaikutus-valtais-imma-n	4
valiokuntajäsenyyksiä	valio-kuntajäsenyyks-i-ä	4
vanhempainvapaalle	vanhempa-i-nvapaa-lle	4
varapuheenjohtajana	vara-puheen-johtaja-na	4
vastaääniä	vasta-ään-i-ä	4
