  		0
 000	000 	1
 0,018	0,018 	1
 0,04	0,04 	1
 007	007 	1
 008	008 	1
 022	022 	1
 0,25	0,25 	1
 0,4	0,4 	1
 045	045 	1
 088	088 	1
 !	! 	1
 "	" 	1
 "	" 	1
 """"	"""" 	1
 (	( 	1
 )	) 	1
 ,	, 	1
 .	. 	1
 :	: 	1
 ?	? 	1
 –	– 	1
 ”	” 	1
 100	100 	1
 10:1	10:1 	1
 1	1 	1
 111	111 	1
 120	120 	1
 12	12 	1
 128	128 	1
 134	134 	1
 150	150 	1
 15	15 	1
 157	157 	1
 16,43	16,43 	1
 17	17 	1
 18	18 	1
 189	189 	1
 1990	1990 	1
 1996	1996 	1
 200	200 	1
 2007	2007 	1
 2008	2008 	1
 2011	2011 	1
 2011–2014	2011–2014 	1
 2011–2017	2011–2017 	1
 2014	2014 	1
 2014–2016	2014–2016 	1
 2016	2016 	1
 2018	2018 	1
 2019	2019 	1
 2020	2020 	1
 2022	2022 	1
 2023	2023 	1
 2024	2024 	1
 21	21 	1
 234	234 	1
 24	24 	1
 247	247 	1
 250	250 	1
 26	26 	1
 270	270 	1
 271	271 	1
 300	300 	1
 30	30 	1
 3	3 	1
 34	34 	1
 35	35 	1
 36	36 	1
 3,725	3,725 	1
 37	37 	1
 3,743	3,743 	1
 3,75	3,75 	1
 381	381 	1
 38	38 	1
 39	39 	1
 433	433 	1
 43	43 	1
 4	4 	1
 44	44 	1
 467	467 	1
 47	47 	1
 503	503 	1
 50	50 	1
 52	52 	1
 542	542 	1
 54	54 	1
 552	552 	1
 55	55 	1
 57	57 	1
 588	588 	1
 591	591 	1
 599	599 	1
 604	604 	1
 60	60 	1
 612	612 	1
 627	627 	1
 633	633 	1
 63	63 	1
 650	650 	1
 651	651 	1
 65	65 	1
 66	66 	1
 667	667 	1
 668	668 	1
 67	67 	1
 68	68 	1
 687	687 	1
 70	70 	1
 714	714 	1
 77	77 	1
 829	829 	1
 88	88 	1
 913	913 	1
 934	934 	1
 95	95 	1
 96	96 	1
 979	979 	1
 98	98 	1
 9	9 	1
 Aaltola	Aaltola 	1
 Aaltolan	Aaltolan 	1
 äänestäjä	äänestäjä 	1
 Äänestäjille	Äänestäjille 	1
 äänikuningas	äänikuningas 	1
 äänikuningatar	äänikuningatar 	1
 Äänimäärällään	Äänimäärällään 	1
 äänipotti	äänipotti 	1
 äänisaalis	äänisaalis 	1
 affilioituneena	affilioituneena 	1
 Aftonbladetille	Aftonbladetille 	1
 Aftonbladetin	Aftonbladetin 	1
 Ahon	Ahon 	1
 Aiemman	Aiemman 	1
 aika	aika 	1
 aikaisemmin	aikaisemmin 	1
 Aikaisemmin	Aikaisemmin 	1
 aina	aina 	1
 ainakaan	ainakaan 	1
 ainakin	ainakin 	1
 Ainoana	Ainoana 	1
 aio	aio 	1
 Aion	Aion 	1
 aktiivisesti	aktiivisesti 	1
 aktiivista	aktiivista 	1
