word	segments	num_segments	sentence
äänen	ääne-n	2	Hän kuuli kaukaa tutun äänen.
arovuokkohan	arovuokko-han	2	Arovuokkohan on yksi kauneimmista keväällä kukkivista kukista.
asiat	asia-t	2	Pekka vakuutti itsensä siitä, että asiat ovat järjestyksessä.
avointa	avoin-ta	2	Hän etsii avointa työpaikkaa.
eli	el-i	2	Hän on minun paras ystäväni, eli hän on aina tukenani.
erityisrahoituksella	erityisrahoitukse-lla	2	Projekti toteutettiin erityisrahoituksella.
eronnut	eron-nut	2	Elokuvan uusi versio ei eronnut paljoa vanhasta.
hallitusratkaisut	hallitusratkaisu-t	2	Hallitusratkaisut vaikuttavat suoraan kansalaisten elämään.
jäi	jä-i	2	Hän jäi odottamaan bussia.
kampanjoinut	kampanjoi-nut	2	Hän on kampanjoinut aktiivisesti viime aikoina.
kannattaa	kannatta-a	2	Poiju kannattaa laituria veden päällä.
kannattajat	kannattaja-t	2	Jalkapallojoukkueen kannattajat juhlivat voittoa kaupungin keskustassa.
kauden	kaude-n	2	Jalkapallojoukkue valmistautuu tulevaan kauteen intensiivisesti.
keskittynyt	keskitty-nyt	2	Muuttoliike on keskittynyt tiettyihin Euroopan valtioihin enemmän kuin toisiin.
kielelle	kiele-lle	2	Kirja käännettiin yli kymmenelle kielelle.
koki	kok-i	2	Hän koki suurta iloa voittaessaan kilpailun.
kolmen	kolme-n	2	Hän saapui paikalle kolmen jälkeen.
kolmesta	kolme-sta	2	Ohjelmaa järjestetään joka päivä kolmesta eteenpäin.
kommentoinut	kommentoi-nut	2	Hän ei ole vielä kommentoinut asiaa.
loikki	loikk-i	2	Kani loikki nopeasti metsän läpi.
loitontaa	loitonta-a	2	Voit loitontaa karttaa nähdäksesi koko kaupungin.
luopui	luopu-i	2	Hän luopui maallisesta omaisuudestaan hyväntekeväisyyden vuoksi.
maanantaihin	maanantai-hin	2	Minun täytyy palauttaa kirja kirjastoon ensi maanantaihin mennessä.
maanantaina	maanantai-na	2	Tapasin hänet maanantaina kaupungilla.
neuvottelut	neuvottelu-t	2	Neuvottelut alkoivat Säätytalolla maanantaina.
nousukiitoa	nousukiito-a	2	Lentokone oli menossa täyttä nousukiitoa, kun sen käskettiinkin palata takaisin.
ollutkaan	ollut-kaan	2	En ollutkaan niin väsynyt kuin luulin.
omasta	oma-sta	2	Omasta mielestäni tuo on kyllä ihan käypä suunnitelma.
onko	on-ko	2	Onko Suomessa kylmää kesäisin?
osakkeen	osakkee-n	2	Hän osti osakkeen uudesta tornitalosta.
päivää	päivä-ä	2	Hyvää päivää, kuinka voin auttaa?
palaverin	palaveri-n	2	Hän palasi kotiin tärkeän palaverin jälkeen.
palkata	palkat-a	2	Voimme palkata uuden työntekijän ensi viikolla.
parlamentin	parlamenti-n	2	Parlamentin jäsenet äänestivät uuden lain puolesta.
perussuomalaisen	perussuomalaise-n	2	Hän on perussuomalaisen puolueen jäsen.
perussuomalaisten	perussuomalais-ten	2	Perussuomalaisten kannatus on kasvanut viime kuukausina.
pienin	pieni-n	2	Euroopan pienin valtio lienee San Marino.
pitkän	pitkä-n	2	Hän on ollut poissa pitkän aikaa.
plakkariin	plakkari-in	2	Hän laittoi puhelimensa takaisin plakkariin.
